categoria_producto,venta_3m_recientes,venta_3m_previos,crecimiento_pct,tendencia
JUGUETES Y ACCESORIOS,58060638.33,44907504.89,0.2928938820408376,CRECIENDO
ESTUCHES Y KITS REGALO,404425086.79,360021029.26,0.12333739954377028,CRECIENDO
CREMAS Y CUIDADO PIEL,58711014.98,54284634.86,0.08154020251615629,CRECIENDO
TOALLITAS HÚMEDAS Y PAÑITOS,198575378.18,189170954.84,0.04971388629905804,ESTABLE
MOBILIARIO INFANTIL,183878044.19,177908112.04,0.03355626723000554,ESTABLE
ACCESORIOS BEBÉ,20080559.84,20443792.35,-0.017767374261165474,ESTABLE
HIGIENE PERSONAL,67179439.45,68400791.91,-0.017855823388814234,ESTABLE
PAÑALES,723016729.0,740703630.43,-0.02387851321821143,ESTABLE
OTROS,241638122.23,261627794.99,-0.07640500414248444,DECRECIENDO
BAÑO BEBÉ (BAÑERAS Y BACINES),207532267.76,228147097.8,-0.09035762557922847,DECRECIENDO
CAMINADORES Y MONTABLES,83915112.36,92596225.46,-0.0937523431098181,DECRECIENDO
COCHES Y PORTEO,35038733.42,42402337.17,-0.17366032727105923,DECRECIENDO
BIBERONES Y EXTRACTORES,138143537.6,181392278.34,-0.2384265809757071,DECRECIENDO
CUIDADO FEMENINO Y MATERNIDAD,16436602.9,23651053.03,-0.30503716349749355,DECRECIENDO
ROPA Y TEXTIL,24683554.99,43195001.13,-0.42855528778174623,DECRECIENDO
ALIMENTACIÓN INFANTIL,9461483.0,19475906.95,-0.5141955122146442,DECRECIENDO
FARMACIA Y BOTIQUÍN,1187023.4,2567404.34,-0.5376562306504475,DECRECIENDO
ALIMENTOS Y BEBIDAS,1697499.8800000001,10444409.93,-0.8374728786617052,DECRECIENDO
