proveedor,saldo_pendiente,compras,n_facturas,dpo
Tecnoquimicas,204984673.0,889353216.0,32,20.7
Bivien,155481864.18,777332748.0,36,18.0
Grupo Family & Home,150856337.0,511275720.0,59,26.6
Softys,79943630.0,462961138.0,24,15.5
Infantiles ABBA,45947021.0,208190834.0,46,19.9
Praktiplas,41107257.0,361404075.0,24,10.2
Grupo Empresarial Bernal Hoyos SAS,26946185.0,26946185.0,1,90.0
Farmadisa,9806187.0,20939836.0,10,42.1
Laboratorio San Jorge SAS,7436539.0,274610353.0,17,2.4
Comercializadora Multidrogas,5501000.0,275618726.0,15,1.8
Armaty,2439260.7199999997,39701756.72,9,5.5
Diseños y Puntadas,2054193.0,12186993.0,10,15.2
Forros para Coche,1242000.0,4925600.0,4,22.7
Roma SA,583266.0,73276518.0,16,0.7
Distribuidora Negociemos Pharma,392916.0,15716631.0,2,2.3
Distribuidora Extra SAS,310978.0,14802569.0,6,1.9
Diana Carolina Otalvaro,186836.0,185224604.0,16,0.1
Comercializadora Tiernitos,47383.0,1724362.0,2,2.5
Fernando Chamorro,40799.0,1630300.0,1,2.3
Etirollos & Mas SAS,0.0,175800.0,2,0.0
Inversiones Metropolitana SA,0.0,5045882.0,5,0.0
Makalú,0.0,70000.0,1,0.0
Premium Trading SAS,0.0,24079999.0,4,0.0
Option SA,-0.1,14204400.0,5,-0.0
