fecha_factura,ingreso_sistema,documento,proveedor,documento_1,valor_usd,trm,valor_en_sistema,plazo,fecha_vencimiento,mes,ano,dias_cartera,descuentos,total_abono_usd,total_abono_pesos,saldo_a_pagar_usd,saldo_a_pagar,trm_prom,abonos_recientes,n_abonos,total_abonado_pesos,saldo_pendiente_cop,saldo_pendiente_usd,dias_por_pagar,tipo_cxp
2026-01-10,2026-01-10,CONT1PANAMA,Inversiones Ziba SAS,0,0.0,,76800000.0,90.0,2026-04-10,4.0,2026.0,0,,,76800000.0,0.0,0.0,,76800000.0,4.0,76800000.0,0.0,0.0,-102,internacional
2026-02-11,2026-02-11,CONT1CHINA,Inversiones Ziba SAS,0,0.0,,69500000.0,90.0,2026-05-12,5.0,2026.0,0,,,69500000.0,0.0,0.0,,69500000.0,3.0,69500000.0,0.0,0.0,-70,internacional
2026-03-21,2026-03-21,CONT2CHINA,Inversiones Ziba SAS,0,0.0,,69500000.0,90.0,2026-06-19,6.0,2026.0,0,,,69500000.0,0.0,0.0,,69500000.0,4.0,69500000.0,0.0,0.0,-32,internacional
2026-04-23,2026-04-23,CONT3CHINA,Inversiones Ziba SAS,0,0.0,,79000000.0,90.0,2026-07-22,7.0,2026.0,0,,,79000000.0,0.0,0.0,,79000000.0,6.0,79000000.0,0.0,0.0,1,internacional
2026-06-15,2026-06-15,CONT2PANAMA,Inversiones Ziba SAS,0,0.0,,69500000.0,90.0,2026-09-13,9.0,2026.0,0,,,69500000.0,0.0,0.0,,69500000.0,4.0,69500000.0,0.0,0.0,54,internacional
,2026-01-10,104,Velox,104,42948.0,4000.0,171792000.0,90.0,1900-03-30,3.0,1900.0,0,,43172.0,158581857.2463,-224.0,13210142.753699988,3673.25713995877,158581857.2463,3.0,158581857.2463,13210142.753699988,-224.0,-46134,internacional
,2026-01-10,64612,Importadora panama,64612,4580.0,4000.0,18320000.0,90.0,1900-03-30,3.0,1900.0,0,,4580.0,17541400.0,0.0,778600.0,3830.0,17541400.0,1.0,17541400.0,778600.0,0.0,-46134,internacional
2025-12-08,2026-02-11,GFD251208,Yiwu Jinchen Imp And Exp,GFD251208,72185.0,3800.0,274303000.0,90.0,2026-03-08,3.0,2026.0,0,,72185.0,271187110.0,0.0,3115890.0,3756.8346609406385,271187110.0,3.0,271187110.0,3115890.0,0.0,-135,internacional
2026-02-05,2026-03-21,GFD260105,Yiwu Jinchen Imp And Exp,GFD260105,52173.0,3800.0,198257400.0,90.0,2026-05-06,5.0,2026.0,0,,52173.0,190370810.0,0.0,7886590.0,3648.8377129933106,190370810.0,4.0,190370810.0,7886590.0,0.0,-76,internacional
2026-02-14,2026-04-23,GFD260214,Yiwu Jinchen Imp And Exp,GFD260214,31871.0,3800.0,121109800.0,90.0,2026-05-15,5.0,2026.0,156,,30080.0,107345200.0,1791.0,13764600.0,3568.656914893617,107345200.0,4.0,107345200.0,13764600.0,1791.0,-67,internacional
2026-04-24,2026-06-15,209,Velox,209,58574.08,4000.0,234296320.0,90.0,2026-07-23,7.0,2026.0,87,,0.0,0.0,58574.08,234296320.0,,0.0,,0.0,234296320.0,58574.08,2,internacional
2026-04-24,2026-06-15,65437,Importadora panama,65437,12590.4,4000.0,50361600.0,90.0,2026-07-23,7.0,2026.0,87,,0.0,0.0,12590.4,50361600.0,,0.0,,0.0,50361600.0,12590.4,2,internacional
