cuota,fecha_cuota,descripcion,valor_capital,valor_cuota,abono,nuevo_saldo_a_capital_saldo,saldo,unnamed_8,unnamed_9,unnamed_10,es_cuota,estado
,,INVENTARIO PROVEEDORES,851628693.0,,,851628693.0,851628693.0,,,,False,concepto_inicial
,,INVENTARIO GENERAL,1200741535.0,,,2052370228.0,2052370228.0,,,,False,concepto_inicial
,,VENTA EMPRESA,150000000.0,,,2202370228.0,2202370228.0,,,,False,concepto_inicial
,,CAMIONES Y MOTO,38500000.0,,,2240870228.0,2240870228.0,,,,False,concepto_inicial
1.0,2025-03-15,,,100000000.0,100000000.0,2140870228.0,2140870228.0,,,,True,pagada
2.0,2025-09-15,,,200000000.0,200000000.0,1940870228.0,1940870228.0,,,,True,pagada
3.0,2025-10-15,,,300000000.0,300000000.0,1640870228.0,1640870228.0,,,,True,pagada
4.0,2025-10-15,APT CALI ,,215000000.0,215000000.0,1425870228.0,1425870228.0,,,,True,pagada
5.0,2025-11-15,,,96709564.33333333,96709564.0,1329160663.6666667,1329160664.0,,,,True,pagada
6.0,2025-12-15,,,96709564.33333333,96709564.0,1232451099.3333335,1232451100.0,,,,True,pagada
7.0,2026-01-15,,,96709564.33333333,96709564.0,1135741535.0000002,1135741536.0,,,,True,pagada
8.0,2026-03-15,,,103249230.0,103249230.0,1032492305.0000002,1032492306.0,,,,True,pagada
9.0,2026-04-15,,,103249230.0,103250000.0,929243075.0000002,929242306.0,,,,True,pagada
10.0,2026-05-15,,,103249230.0,103249230.0,825993845.0000002,825993076.0,,,,True,pagada
11.0,2026-06-15,,,103249230.0,103249000.0,722744615.0000002,722744076.0,,,230.0,True,pagada
12.0,2026-07-15,,,103249230.0,70000000.0,619495385.0000002,652744076.0,,,,True,pagada
13.0,2026-08-15,,,103249230.0,,516246155.00000024,652744076.0,,,,True,pendiente_futura
14.0,2026-09-15,,,103249230.0,,412996925.00000024,652744076.0,,,,True,pendiente_futura
15.0,2026-10-15,,,103249230.0,,309747695.00000024,652744076.0,,738000+2196000,,True,pendiente_futura
16.0,2026-11-15,,,103249230.0,,206498465.00000024,652744076.0,,,,True,pendiente_futura
17.0,2026-12-15,,,103249230.0,,103249235.00000024,652744076.0,,,,True,pendiente_futura
18.0,2027-01-15,,,103249230.0,,5.000000238418579,652744076.0,,,,True,pendiente_futura
,,SALDO A MARZO 19 DEL 2026,,652744071.0,,,,,,,False,concepto_inicial
