anio_mes,flete_nacional,flete_importacion,ventas_total,flete_total,pct_flete_nacional_sobre_ventas,pct_flete_importacion_sobre_ventas,pct_flete_total_sobre_ventas,tendencia_flete_pct
2024-06,0.0,0.0,1124846712.86,0.0,0.0,0.0,0.0,
2024-07,0.0,0.0,929778715.22,0.0,0.0,0.0,0.0,
2024-08,0.0,0.0,1104943673.78,0.0,0.0,0.0,0.0,
2024-09,0.0,0.0,745903478.11,0.0,0.0,0.0,0.0,
2024-10,0.0,0.0,812825642.99,0.0,0.0,0.0,0.0,
2024-11,0.0,0.0,603135991.01,0.0,0.0,0.0,0.0,0.0
2024-12,0.0,0.0,802980788.8,0.0,0.0,0.0,0.0,0.0
2025-01,0.0,0.0,659721609.37,0.0,0.0,0.0,0.0,0.0
2025-02,0.0,0.0,618574081.57,0.0,0.0,0.0,0.0,0.0
2025-03,0.0,0.0,713042482.88,0.0,0.0,0.0,0.0,0.0
2025-04,0.0,0.0,731319564.45,0.0,0.0,0.0,0.0,0.0
2025-05,0.0,0.0,743862759.67,0.0,0.0,0.0,0.0,0.0
2025-06,0.0,0.0,579265770.95,0.0,0.0,0.0,0.0,0.0
2025-07,0.0,0.0,687587373.54,0.0,0.0,0.0,0.0,0.0
2025-10,1489500.0,0.0,408741102.15,1489500.0,0.0036,0.0,0.0036,0.0012
2025-11,4636500.0,0.0,614867660.08,4636500.0,0.0075,0.0,0.0075,0.0036999999999999997
2025-12,2444600.0,0.0,529208287.16,2444600.0,0.0046,0.0,0.0046,0.005233333333333333
2026-01,6167653.0,0.0,761674894.64,6167653.0,0.0081,0.0,0.0081,0.005533333333333334
2026-02,6714100.0,126686.0,754380452.58,6840786.0,0.0089,0.0002,0.0091,0.003566666666666667
2026-03,5660100.0,3451831.0,868932146.74,9111931.0,0.0065,0.004,0.0105,0.004000000000000002
2026-04,4995350.0,6287740.0,882693265.35,11283090.0,0.0057,0.0071,0.0128,0.0040666666666666655
2026-05,8149100.0,1483123.0,678437833.89,9632223.0,0.012,0.0022,0.0142,0.0052333333333333355
2026-06,2794300.0,5895864.0,857568492.11,8690164.0,0.0033,0.0069,0.0101,0.0031333333333333317
2026-07,0.0,0.0,597415255.67,0.0,0.0,0.0,0.0,-0.0026999999999999975
