anio_mes,venta_bruta,venta_total,costo_total,utilidad_bruta,margen_bruto_pct
2024-06,1153137122.0,1124846712.8600001,1007553011.8800001,117293701.0,0.1043
2024-07,953163075.0,929778715.22,888250416.5799999,41528299.0,0.0447
2024-08,1132733512.0,1104943673.7800002,1192008345.36,-87064672.0,-0.0788
2024-09,764663292.0,745903478.11,750262070.4,-4358592.0,-0.0058
2024-10,833268579.0,812825642.99,791226048.76,21599594.0,0.0266
2024-11,618305137.0,603135991.01,606523689.79,-3387699.0,-0.0056
2024-12,823176123.0,802980788.8,922969167.47,-119988379.0,-0.1494
2025-01,676313909.0,659721609.3699999,552303343.67,107418266.0,0.1628
2025-02,634131502.0,618574081.5699999,517855605.53000003,100718476.0,0.1628
2025-03,730975827.0,713042482.88,596942319.15,116100164.0,0.1628
2025-04,749712586.0,731319564.45,612243460.71,119076104.0,0.1628
2025-05,762571248.0,743862759.6700001,622744326.29,121118433.0,0.1628
2025-06,593834570.0,579265770.95,484947617.34999996,94318154.0,0.1628
2025-07,704880510.0,687587373.54,575631903.85,111955470.0,0.1628
2025-10,419518774.0,408741102.15,349817779.15999997,58923323.0,0.1442
2025-11,618437960.0,614867660.0799999,532078468.21999997,82789192.0,0.1346
2025-12,570483487.0,529208287.15999997,455476588.74,73731698.0,0.1393
2026-01,767065945.0,761674894.64,655569319.16,106105575.0,0.1393
2026-02,771488260.0,754380452.5799999,623005507.4,131374945.0,0.1741
2026-03,915980847.0,868932146.74,709930961.19,159001186.0,0.183
2026-04,911751425.0,882693265.35,720666215.8800001,162027049.0,0.1836
2026-05,696983334.0,678437833.89,566118059.4,112319774.0,0.1656
2026-06,873775097.0,857568492.1099999,708852184.59,148716308.0,0.1734
2026-07,612440522.0,597415255.6700001,500141936.46000004,97273319.0,0.1628
