anio_mes,venta_bruta,venta_neta,unidades,facturas,devoluciones,ticket_promedio
2024-06,1153137122,1124846712.86,45687,402,28290409.0,2798126.0
2024-07,953163075,929778715.22,40426,440,23384360.0,2113133.0
2024-08,1132733512,1104943673.78,55072,418,27789838.0,2643406.0
2024-09,764663292,745903478.11,30636,352,18759814.0,2119044.0
2024-10,833268579,812825642.99,42366,457,20442936.0,1778612.0
2024-11,618305137,603135991.01,27214,403,15169146.0,1496615.0
2024-12,823176123,802980788.8,39148,314,20195334.0,2557264.0
2025-01,676313909,659721609.37,33395,351,16592300.0,1879549.0
2025-02,634131502,618574081.57,30598,374,15557420.0,1653941.0
2025-03,730975827,713042482.88,33300,413,17933344.0,1726495.0
2025-04,749712586,731319564.45,35931,394,18393022.0,1856141.0
2025-05,762571248,743862759.67,41726,460,18708488.0,1617093.0
2025-06,593834570,579265770.95,26830,362,14568799.0,1600182.0
2025-07,704880510,687587373.54,35443,444,17293136.0,1548620.0
2025-10,419518774,408741102.15,20035,82,10777672.0,4984648.0
2025-11,618437960,614867660.08,32510,159,3570300.0,3867092.0
2025-12,570483487,529208287.16,28561,232,41275200.0,2281070.0
2026-01,767065945,761674894.64,36997,284,5391050.0,2681954.0
2026-02,771488260,754380452.58,43734,332,17107807.0,2272230.0
2026-03,915980847,868932146.74,52089,488,47048700.0,1780599.0
2026-04,911751425,882693265.35,48459,489,29058160.0,1805099.0
2026-05,696983334,678437833.89,36862,372,18545500.0,1823758.0
2026-06,873775097,857568492.11,42279,463,16206605.0,1852200.0
2026-07,612440522,597415255.67,30621,284,15025266.0,2103575.0
